state_sub,State,Suburb,Count_of_listings,Average_Price,Average_Vehicle_Age,Postcode,Latitude,Longitude,Taxable_income_no.,Taxable_income,Total_work_related_car_expenses_no.,Total_work_related_car_expenses,Avg_Income,Avg_WR_car_expense
vicfitzroy,VIC,Fitzroy,3,11967,17,3065,-37.8,144.98,7154,588939559,1214,2877768,82323.1142,2370.484349
vicnorthcote,VIC,Northcote,3,11957,13,3070,-37.77,145,16757,1317614611,3595,8068310,78630.69828,2244.314325
nswcamden,NSW,Camden,83,11890,12.29,2570,-34.08,150.54,31447,2093982355,10457,28958713,66587.66671,2769.313665
nswdawes point,NSW,Dawes Point,1,11800,10,2000,-33.86,151.21,23056,1816478952,1417,3908263,78785.52012,2758.124912
qldcarina,QLD,Carina,4,11775,18.75,4152,-27.49,153.08,30141,2215767811,7046,18107560,73513.41399,2569.90633
nswwarners bay,NSW,Warners Bay,16,11741,11.94,2282,-32.99,151.64,9462,614476253,2532,5591158,64941.47675,2208.198262
nswbensville,NSW,Bensville,2,11700,8,2251,-33.46,151.43,19187,1174356845,5055,13621085,61205.86048,2694.576657
tasmowbray,TAS,Mowbray,15,11670,13.67,7248,-41.42,147.13,7722,323725029,1448,2518115,41922.43318,1739.029696
vickealba,VIC,Kealba,3,11663,16.33,3021,-37.75,144.77,27482,1189771457,5398,11472927,43292.75369,2125.403298
sacamden park,SA,Camden Park,3,11633,19.67,5038,-34.97,138.54,10336,543282007,2548,4783762,52562.11368,1877.457614
vicwandin north,VIC,Wandin North,2,11590,11,3139,-37.8,145.54,8770,491190366,2388,6734514,56008.02349,2820.148241
nswberala,NSW,Berala,1,11500,12,2141,-33.87,151.03,18689,877742904,2574,5666840,46965.75012,2201.569542
nswbreakfast point,NSW,Breakfast Point,1,11500,13,2137,-33.84,151.11,17718,1425836627,3683,12061533,80473.90377,3274.920717
nswcasuarina,NSW,Casuarina,1,11500,17,2487,-28.3,153.57,8444,539843948,2296,5740873,63932.25343,2500.380226
nswcoolamon,NSW,Coolamon,2,11500,11.5,2701,-34.82,147.2,1362,71512865,293,570460,52505.7746,1946.962457
saevanston,SA,Evanston,2,11500,9,5116,-34.62,138.73,5334,277210583,1622,3191113,51970.488,1967.393958
sagreenacres,SA,Greenacres,1,11500,9,5086,-34.86,138.66,9414,490912110,2409,4554211,52147.02677,1890.498547
samarion,SA,Marion,2,11500,11.5,5043,-34.99,138.56,10689,534362350,2578,4892211,49991.79998,1897.676881
wamunster,WA,Munster,1,11500,32,6166,-32.12,115.77,6522,455318421,1646,3680216,69812.69871,2235.854192
saaldinga,SA,Aldinga,3,11367,8,5173,-35.27,138.48,6852,330651694,1914,3882812,48256.23088,2028.637409
saottoway,SA,Ottoway,18,11367,11.39,5013,-34.84,138.53,5318,156713836,1360,2401126,29468.56638,1765.533824
nswdulwich hill,NSW,Dulwich Hill,3,11333,11,2203,-33.9,151.14,9144,701445141,1748,4262305,76710.97343,2438.389588
vicskye,VIC,Skye,5,11299,13.6,3977,-38.21,145.32,61011,3250359715,19081,45093569,53274.97853,2363.270741
wasouth fremantle,WA,South Fremantle,13,11298,11.77,6162,-32.07,115.76,7279,547669702,1547,2978560,75239.68979,1925.378151
vicbraybrook,VIC,Braybrook,107,11285,13.49,3019,-37.78,144.86,4956,226274012,1044,2057780,45656.58031,1971.05364
vicavondale heights,VIC,Avondale Heights,3,11263,14.67,3034,-37.74,144.82,6770,410637180,1818,4862760,60655.41802,2674.785479
nswkogarah,NSW,Kogarah,15,11250,12.53,1485,0,0,56,2956782,10,20623,52799.67857,2062.3
qldbambaroo,QLD,Bambaroo,2,11250,10,4850,-18.47,145.89,5978,303980154,1273,2188635,50849.8083,1719.27337
qlddicky beach,QLD,Dicky Beach,1,11250,10,4551,-26.78,153.11,36674,1973273965,9560,23266489,53805.80152,2433.733159
vicnorth melbourne,VIC,North Melbourne,1,11199,6,3051,-37.91,145.06,9196,587116157,1362,2904680,63844.73217,2132.657856
nswadamstown,NSW,Adamstown,13,11182,10,2289,-32.93,151.73,11831,754277530,3421,7466120,63754.33438,2182.437884
saverdun,SA,Verdun,6,11157,9.5,5245,-35.03,138.81,1953,126300464,426,999474,64669.97645,2346.183099
actbraddon,ACT,Braddon,2,11100,10,2612,-35.27,149.13,11381,948414635,1984,3446737,83333.15482,1737.266633
actlyons,ACT,Lyons,1,11000,12,2606,-35.35,149.08,7189,546627373,1502,2842069,76036.63555,1892.189747
actngunnawal,ACT,Ngunnawal,1,11000,11,2913,-35.2,149.13,24209,1681323431,6236,11925744,69450.34619,1912.402822
nswcawdor,NSW,Cawdor,1,11000,11,2570,-34.08,150.54,31447,2093982355,10457,28958713,66587.66671,2769.313665
nswportland,NSW,Portland,1,11000,8,2847,-33.35,149.98,1111,61229975,309,575112,55112.48875,1861.203883
sakeswick,SA,Keswick,1,11000,17,5035,-34.95,138.57,3943,226865881,844,1831954,57536.36343,2170.561611
tasclaremont,TAS,Claremont,1,11000,12,7011,-42.77,147.24,8182,398528389,1902,3486911,48707.94292,1833.28654
waalkimos,WA,Alkimos,1,11000,7,6038,-32.29,115.72,5341,336205655,1712,3503065,62948.07246,2046.182827
qldburnside,QLD,Burnside,1,10999,17,4560,-26.62,153.04,19988,1020056119,4868,10522951,51033.42601,2161.65797
qldseventeen mile rocks,QLD,Seventeen Mile Rocks,27,10992,10.26,4073,-27.55,152.96,5681,431039728,1393,3095488,75873.91797,2222.173726
actturner,ACT,Turner,1,10990,10,2612,-35.27,149.13,11381,948414635,1984,3446737,83333.15482,1737.266633
vicbox hill,VIC,Box Hill,1,10990,9,3128,-37.82,145.12,12778,681962308,2346,5201401,53370.03506,2217.135976
viccarrum,VIC,Carrum,1,10950,9,3197,-38.08,145.12,7441,507155186,2208,6574528,68156.85876,2977.594203
wabelmont,WA,Belmont,2,10950,12.5,6104,-31.94,115.92,8868,548973835,2288,4262819,61905.03327,1863.120192
tasgreat bay,TAS,Great Bay,1,10900,11,7150,-43.36,147.33,1768,90160333,335,562655,50995.66346,1679.567164
nswharrington,NSW,Harrington,13,10896,15.15,2427,-31.84,152.74,1446,62788039,288,663268,43421.88036,2303.013889
qldcloncurry,QLD,Cloncurry,1,10890,22,4824,-20.7,140.51,1573,111892633,318,684047,71133.26955,2151.091195
vicbyaduk,VIC,Byaduk,1,10880,8,3301,-37.7,141.93,758,37217867,135,317804,49100.08839,2354.103704
qldbeachmere,QLD,Beachmere,4,10875,13.75,4510,-27.13,153.05,26809,1266893597,6582,16061003,47256.2795,2440.140231
vicsouth geelong,VIC,South Geelong,16,10865,13.06,3220,-38.18,145.11,11245,886622372,2793,6440051,78845.92014,2305.782671
vicbeaconsfield,VIC,Beaconsfield,2,10833,16.5,3807,-38.05,145.37,4654,326352987,1380,3809938,70123.1171,2760.824638
nswcarramar,NSW,Carramar,1,10800,14,2163,-33.88,150.96,4108,181646324,791,1837987,44217.70302,2323.624526
nswkarabar,NSW,Karabar,1,10800,11,2620,-35.58,149.23,26665,1890512054,7129,14385758,70898.63319,2017.920887
sablakeview,SA,Blakeview,4,10800,10,5114,-34.67,138.67,18594,943539783,5223,10243871,50744.31446,1961.300211
nswqueanbeyan east,NSW,Queanbeyan East,2,10750,13,2620,-35.58,149.23,26665,1890512054,7129,14385758,70898.63319,2017.920887
saelizabeth east,SA,Elizabeth East,1,10700,13,5112,-34.71,138.67,8156,369361922,1899,3526813,45287.141,1857.194839
taslutana,TAS,Lutana,2,10700,16.5,7009,-42.84,147.29,7861,367958712,1523,2648103,46808.13026,1738.7413
qldclontarf,QLD,Clontarf,124,10664,11.71,4019,-27.26,153.08,11251,620065793,2853,6894282,55112.06053,2416.502629
vicvermont south,VIC,Vermont South,4,10625,16.75,3133,-37.84,145.19,13936,821724430,3039,7427955,58964.15255,2444.210267
nswlidcombe,NSW,Lidcombe,49,10612,14.06,1825,0,0,NULL,NULL,NULL,NULL,NULL,NULL
nswlake haven,NSW,Lake Haven,3,10567,9,2263,-33.27,151.54,11479,569206826,3298,7622612,49586.79554,2311.283202
vicwilliamstown north,VIC,Williamstown North,7,10565,12.43,3016,-37.86,144.9,10235,941673265,2444,7204059,92005.2042,2947.650982
tasyoungtown,TAS,Youngtown,17,10520,14.41,7249,-41.47,147.16,6899,356757421,1445,2702504,51711.46847,1870.244983
actcapital hill,ACT,Capital Hill,1,10500,8,2600,-35.31,149.14,5909,668405382,1062,2597163,113116.4972,2445.539548
nswbanksia,NSW,Banksia,1,10500,8,2216,-33.95,151.14,18493,1008452974,3426,8535692,54531.60515,2491.445417
nswnorth lambton,NSW,North Lambton,1,10500,11,2299,-32.9,151.69,6147,347429081,1617,3347412,56520.10428,2070.137291
nswriverwood,NSW,Riverwood,3,10500,16.67,2210,-33.98,151.05,18670,1104336595,3799,10268492,59150.32646,2702.946038
qldbrassall,QLD,Brassall,2,10500,11,4305,-27.6,152.77,33731,1775831523,9142,19205205,52646.86855,2100.766244
qldchermside centre,QLD,Chermside Centre,1,10500,8,4032,-27.39,153.03,11140,634697849,2375,4957166,56974.67226,2087.227789
qldcoombabah,QLD,Coombabah,1,10500,10,4216,-27.93,153.4,22992,1368209983,5415,14273847,59508.08903,2635.982825
qldshorncliffe,QLD,Shorncliffe,1,10500,12,4017,-27.33,153.03,22203,1355246209,5175,11656985,61038.87803,2252.557488
tasnorwood,TAS,Norwood,1,10500,8,7250,-41.46,147.08,29097,1669194884,6146,11588756,57366.56301,1885.576961
vicgreensborough,VIC,Greensborough,2,10500,14,3088,-37.71,145.12,16954,1073424115,4773,12051529,63313.91501,2524.937984
wadarch,WA,Darch,1,10500,9,6065,-31.73,115.79,39780,2460735399,10694,22878017,61858.60732,2139.332055
wakelmscott,WA,Kelmscott,1,10500,11,6111,-32.1,116.19,13317,773735856,2835,5482223,58101.36337,1933.764727
qldbeenleigh,QLD,Beenleigh,2,10495,12,4207,-27.72,153.27,34063,1748532611,9205,22817180,51332.31398,2478.781097
nswnewee creek,NSW,Newee Creek,1,10490,8,2447,-30.8,152.73,3791,161971458,814,1528974,42725.2593,1878.346437
nswmaclean,NSW,Maclean,1,10450,6,2463,-29.42,153.19,4066,191141965,862,1841954,47009.82907,2136.837587
samawson lakes,SA,Mawson Lakes,28,10388,13.11,5095,-34.82,138.62,12141,666767006,3082,6231518,54918.62334,2021.907203
vicsydenham,VIC,Sydenham,3,10367,18,3037,-37.72,144.78,29261,1664345860,8719,22061661,56879.32265,2530.297167
nswbilambil heights,NSW,Bilambil Heights,2,10350,17,2486,-28.21,153.54,17267,853125048,4666,9909996,49407.83274,2123.873982
taslongford,TAS,Longford,1,10350,11,7301,-41.62,146.99,2417,136314172,493,1035254,56398.08523,2099.906694
wanollamara,WA,Nollamara,5,10320,12,6061,-31.86,115.84,21949,1067442226,5835,11393033,48632.84095,1952.533505
nswleumeah,NSW,Leumeah,60,10235,14.43,2560,-34.08,150.83,43014,2370193466,11290,27259015,55102.83782,2414.438884
sapenola,SA,Penola,1,10200,9,5277,-37.23,140.93,1663,91236856,380,792129,54862.81179,2084.55
salyndoch,SA,Lyndoch,3,10120,10.33,5351,-34.6,138.91,3575,196828021,972,2096745,55056.78909,2157.145062
actbruce,ACT,Bruce,1,10000,17,2617,-35.24,149.07,23463,1533512471,4837,8930210,65358.7551,1846.229068
actcharnwood,ACT,Charnwood,1,10000,9,2615,-35.2,149.03,28465,1866007317,6647,12534596,65554.44641,1885.752369
nswkellyville ridge,NSW,Kellyville Ridge,2,10000,12.5,2155,-33.7,150.95,39825,2885164180,10953,34526929,72446.05599,3152.280562
nswmalua bay,NSW,Malua Bay,1,10000,21,2536,-35.73,150.2,9846,470456845,2098,4217436,47781.51991,2010.21735
nswnambucca heads,NSW,Nambucca Heads,1,10000,28,2448,-30.62,153,4122,176897248,813,1721079,42915.39253,2116.948339
nswnoraville,NSW,Noraville,1,10000,14,2263,-33.27,151.54,11479,569206826,3298,7622612,49586.79554,2311.283202
nswuranquinty,NSW,Uranquinty,1,10000,10,2652,-34.04,146.03,2822,136596257,501,981367,48404.05989,1958.816367
ntzuccoli,NT,Zuccoli,1,10000,13,832,-12.49,130.99,10883,758947364,4378,7746934,69736.9626,1769.51439
qldbannockburn,QLD,Bannockburn,1,10000,8,4207,-27.72,153.27,34063,1748532611,9205,22817180,51332.31398,2478.781097
qldtieri,QLD,Tieri,1,10000,10,4709,-23.04,148.34,390,34610813,141,352232,88745.67436,2498.099291
tasmole creek,TAS,Mole Creek,1,10000,16,7304,-41.82,146.68,3219,149028818,751,1511272,46296.61945,2012.346205
vicburnside,VIC,Burnside,1,10000,32,3023,-37.75,144.75,34925,1929053207,9499,23085820,55234.16484,2430.342141
viceltham north,VIC,Eltham North,1,10000,12,3095,-37.71,145.15,18457,1352040840,4902,14474268,73253.55367,2952.72705
vickyabram,VIC,Kyabram,3,10000,17.33,3619,-37.66,144.94,109,4911332,30,62493,45058.09174,2083.1
vicleopold,VIC,Leopold,2,10000,16,3224,-38.18,144.46,8310,443374881,2529,5170653,53354.37798,2044.544484
vicmount waverley,VIC,Mount Waverley,2,10000,10,3149,-37.88,145.13,22087,1413823858,4643,11188412,64011.5841,2409.73767
nswraworth,NSW,Raworth,1,9999,9,2321,-32.76,151.65,9708,601674060,3199,7187621,61977.13844,2246.833698
vicprahran,VIC,Prahran,1,9999,4,3181,-37.85,144.99,14816,1279356684,3594,10087064,86349.6682,2806.639955
qldtugun,QLD,Tugun,16,9990,11.94,4224,-28.14,153.49,4370,247169102,1289,3177443,56560.43524,2465.044996
wapinjarra,WA,Pinjarra,2,9975,42,6208,-32.64,115.87,6420,396863063,1495,2911984,61816.67648,1947.815385
qldmango hill,QLD,Mango Hill,2,9950,9,4509,-27.23,153.02,21081,1276303202,5935,14472120,60542.82064,2438.436394
qldpallara,QLD,Pallara,1,9950,12,4110,-27.59,153.03,7633,399290443,1905,3939094,52311.07599,2067.765879
vicmoe,VIC,Moe,2,9950,13,3825,-37.7,146.36,10205,548689924,3149,6012978,53766.77354,1909.488091
nswcanley vale,NSW,Canley Vale,14,9947,13.29,2166,-33.9,150.94,25406,1155090406,3921,8930269,45465.26041,2277.54884
wamount lawley,WA,Mount Lawley,27,9931,14.41,6050,-31.91,115.86,10074,942096829,1948,4449363,93517.65227,2284.067248
nswcasula mall,NSW,Casula Mall,1,9900,8,2170,-33.95,150.91,54859,2973663183,13459,33304630,54205.56669,2474.524853
qldlogan village,QLD,Logan Village,2,9900,15.5,4207,-27.72,153.27,34063,1748532611,9205,22817180,51332.31398,2478.781097
qldmackenzie,QLD,Mackenzie,2,9900,12.5,4156,-27.56,153.16,2243,175174830,478,1198059,78098.45296,2506.399582
qldkirwan,QLD,Kirwan,3,9889,14,4817,-19.33,146.6,18010,1067610219,5390,10078925,59278.7462,1869.930427
vicsunshine,VIC,Sunshine,11,9874,13.45,3020,-37.78,144.82,24733,1163738119,5328,11393215,47052.04055,2138.366179
victeesdale,VIC,Teesdale,2,9824,11,3328,-38.04,144.05,1131,66485319,361,972935,58784.54377,2695.110803
nswyenda,NSW,Yenda,1,9800,11,2681,-34.18,146.11,1053,53175568,184,343341,50499.11491,1865.983696
vicblackburn north,VIC,Blackburn North,1,9800,13,3130,-37.82,145.15,20261,1339362217,4474,10502779,66105.43492,2347.514305
vicmordialloc,VIC,Mordialloc,83,9790,12.41,3195,-38.03,145.1,22929,1603774842,6538,17885005,69945.25893,2735.546803
nswsutton,NSW,Sutton,2,9750,16,2620,-35.58,149.23,26665,1890512054,7129,14385758,70898.63319,2017.920887
nsweastlakes,NSW,Eastlakes,1,9700,17,2018,-33.93,151.21,11277,716483778,2203,5915865,63534.96302,2685.36768
nswmarayong,NSW,Marayong,2,9700,12.5,2148,-33.79,150.87,38486,2019667222,8562,19590524,52477.97178,2288.078019
qldspringfield,QLD,Springfield,3,9700,9.33,4300,-27.67,152.89,37043,2145893337,10612,24210509,57929.7934,2281.427535
vicdandenong north,VIC,Dandenong North,1,9700,14,3175,-38.03,145.18,28284,1300885763,6337,13840394,45993.69831,2184.060912
tassandy bay,TAS,Sandy Bay,3,9667,12,7005,-42.9,147.31,9052,644938308,1233,2586505,71248.15599,2097.733171
viccastlemaine,VIC,Castlemaine,2,9645,13,3450,-37.06,144.22,3923,196286547,884,1535996,50034.80678,1737.552036
qldstanthorpe,QLD,Stanthorpe,23,9564,15.13,4380,-28.61,151.9,4355,183448905,1012,1961795,42123.74397,1938.532609
actmoncrieff,ACT,Moncrieff,1,9500,13,2914,-35.17,149.13,19224,1372893895,5442,10625608,71415.62084,1952.518927
nswforestville,NSW,Forestville,1,9500,8,2087,-33.76,151.21,7964,699404777,1516,5059077,87820.79068,3337.122032
nswscone,NSW,Scone,1,9500,13,2337,-31.99,151.12,4648,343317987,1248,2783820,73863.59445,2230.625
nswstanford merthyr,NSW,Stanford Merthyr,1,9500,10,2327,-32.82,151.48,3794,193443614,1113,2518838,50986.71956,2263.106918
qlddeception bay,QLD,Deception Bay,1,9500,8,4508,-27.2,153.03,9660,458706372,2526,6144815,47485.13168,2432.626683
qldinala heights,QLD,Inala Heights,1,9500,7,4077,-27.61,152.98,16173,732435808,3623,7284445,45287.56619,2010.611372
sadavoren park,SA,Davoren Park,1,9500,8,5113,-34.7,138.67,6902,280201931,1437,2870863,40597.2082,1997.81698
waforrestfield,WA,Forrestfield,1,9500,15,6058,-31.99,116.01,7549,448510738,1739,3125186,59413.26507,1797.116734
qldwynnum west,QLD,Wynnum West,2,9495,16,4178,-27.42,153.16,15564,974047552,3495,8950160,62583.3688,2560.846924
qldaroona,QLD,Aroona,1,9490,11,4551,-26.78,153.11,36674,1973273965,9560,23266489,53805.80152,2433.733159
nswtoukley,NSW,Toukley,2,9450,11.5,2263,-33.27,151.54,11479,569206826,3298,7622612,49586.79554,2311.283202
vicmacleod,VIC,Macleod,2,9375,13.5,3085,-37.73,145.07,8351,557547852,2212,5141158,66764.20213,2324.212477
vicbayswater north,VIC,Bayswater North,30,9344,15.5,3153,-37.84,145.27,12644,682288155,3346,7487467,53961.41688,2237.736701
vicavalon,VIC,Avalon,2,9300,9,3212,-38.02,144.41,10111,608758739,3344,8244626,60207.56987,2465.498206
actdowner,ACT,Downer,3,9298,15.33,2602,-35.26,149.15,21123,1609450057,3866,6784939,76194.1986,1755.028195
sabeverley,SA,Beverley,25,9251,13.44,5009,-34.9,138.56,3090,164635142,696,1331593,53279.98123,1913.208333
nswashtonfield,NSW,Ashtonfield,1,9250,12,2323,-32.77,151.6,14631,870038864,4240,9090122,59465.44078,2143.896698
nswnorth willoughby,NSW,North Willoughby,1,9100,9,2068,-33.8,151.21,11060,1387531694,1845,5953834,125454.9452,3227.010298
sasheidow park,SA,Sheidow Park,2,9095,22,5158,-35.08,138.52,15599,857809740,4414,8926783,54991.32893,2022.379474
salonsdale,SA,Lonsdale,25,9059,14,5160,-35.1,138.5,128,7963868,26,66896,62217.71875,2572.923077
nswemerald beach,NSW,Emerald Beach,1,9000,14,2456,-30.06,153.19,9328,433594701,2276,5091927,46483.1369,2237.226274
nswhamilton valley,NSW,Hamilton Valley,1,9000,14,2641,-36.04,146.92,8483,415476095,1843,3518554,48977.49558,1909.144872
nswjewells,NSW,Jewells,1,9000,14,2280,-33.04,151.66,15414,932141312,4333,10375541,60473.68055,2394.539811
ntdaly waters,NT,Daly Waters,1,9000,17,852,-14.92,133.06,2044,85896752,224,546456,42023.85127,2439.535714
qldavenell heights,QLD,Avenell Heights,1,9000,26,4670,-24.84,152.02,41871,2160860076,8656,18846223,51607.55836,2177.243877
sabedford park,SA,Bedford Park,1,9000,24,5042,-35.02,138.57,6353,320179422,1394,2444698,50398.14607,1753.728838
saevanston park,SA,Evanston Park,2,9000,12,5116,-34.62,138.73,5334,277210583,1622,3191113,51970.488,1967.393958
saport elliot,SA,Port Elliot,1,9000,10,5212,-35.53,138.67,1146,49498111,174,338976,43192.06894,1948.137931
vicashburton,VIC,Ashburton,1,9000,13,3147,-37.86,145.08,9165,734045665,2087,5578163,80092.27114,2672.814087
vicbreakwater,VIC,Breakwater,1,9000,13,3219,-38.18,144.38,11105,576128737,3409,6917474,51880.1204,2029.179818
nswwinston hills,NSW,Winston Hills,1,8999,14,2153,-33.76,150.99,36863,2575040504,8330,23610351,69854.33915,2834.37587
viceast melbourne,VIC,East Melbourne,1,8999,14,3002,-37.82,144.99,3773,515823134,588,1592776,136714.3212,2708.802721
nswlakemba,NSW,Lakemba,2,8995,10.5,2195,-33.92,151.08,13240,547265922,2411,5139343,41334.28414,2131.622978
viccranbourne west,VIC,Cranbourne West,3,8993,12.67,3977,-38.21,145.32,61011,3250359715,19081,45093569,53274.97853,2363.270741
nswwaratah,NSW,Waratah,4,8990,16.25,2298,-32.91,151.73,5030,282643967,1437,2891211,56191.64354,2011.977035
qldeast brisbane,QLD,East Brisbane,6,8966,13.33,4169,-27.48,153.05,10956,822118212,2277,5881305,75038.17196,2582.918314
vicalfredton,VIC,Alfredton,2,8950,22,3350,-37.56,143.82,35916,2117044595,11385,23834450,58944.33108,2093.495828
waembleton,WA,Embleton,13,8913,13.23,6062,-31.9,115.92,20106,1098433183,4629,9374898,54632.10897,2025.253402
nswwoollahra,NSW,Woollahra,2,8900,9,1350,0,0,NULL,NULL,NULL,NULL,NULL,NULL
wacaversham,WA,Caversham,1,8900,10,6055,-31.87,115.98,16764,1088081314,5009,9620712,64905.8288,1920.685167
vicwatsonia,VIC,Watsonia,14,8885,17.14,3087,-37.71,145.08,5399,327615030,1467,3476740,60680.68716,2369.965917
qldclear island waters,QLD,Clear Island Waters,1,8800,16,4226,-28.04,153.4,21662,1191340010,5836,13597715,54996.769,2329.971727
samarleston,SA,Marleston,2,8800,18,5033,-34.93,138.56,5063,255386709,1211,2235749,50441.77543,1846.200661
qldkelvin grove,QLD,Kelvin Grove,3,8783,12,4059,-27.45,153.01,7895,558924311,1521,3435792,70794.71957,2258.903353
qldflinders view,QLD,Flinders View,2,8750,10,4305,-27.6,152.77,33731,1775831523,9142,19205205,52646.86855,2100.766244
qldspring hill,QLD,Spring Hill,2,8745,13.5,4000,-27.47,153.03,13652,888895544,1653,4132242,65111.0126,2499.84392
ntholtze,NT,Holtze,11,8736,14.82,829,-14.46,132.28,358,24632127,179,303392,68804.82402,1694.927374
qldmount louisa,QLD,Mount Louisa,15,8673,17.47,4814,-19.3,146.76,25296,1530437801,6571,11668993,60501.17809,1775.832141
saaldgate,SA,Aldgate,2,8650,14,5154,-35.01,138.73,2281,184831821,486,1206237,81031.04822,2481.969136
vicst albans,VIC,St Albans,10,8549,13.6,3021,-37.75,144.77,27482,1189771457,5398,11472927,43292.75369,2125.403298
nswbrooklana,NSW,Brooklana,1,8500,13,2450,-30.34,153.07,25613,1332796642,5957,12630174,52035.94433,2120.223938
nswkandos,NSW,Kandos,1,8500,13,2848,-32.97,149.96,539,24640881,138,294268,45715.92022,2132.376812
nswlockhart,NSW,Lockhart,1,8500,12,2656,-35.12,147,718,31599548,103,241507,44010.51253,2344.728155
nswnorth st marys,NSW,North St Marys,2,8500,14,2760,-33.78,150.79,19097,1026706197,5059,11520721,53762.69555,2277.272386
nswspringwood,NSW,Springwood,1,8500,10,2777,-33.67,150.65,10697,669748558,2671,6367538,62610.87763,2383.952827
qldbreadalbane,QLD,Breadalbane,1,8500,12,4800,-20.58,148.42,5545,314570263,1253,3125275,56730.43517,2494.233839
qldeight mile plains,QLD,Eight Mile Plains,1,8500,11,4113,-27.58,153.09,18676,916925775,3558,7463369,49096.47542,2097.63041
sacroydon,SA,Croydon,3,8500,19,5008,-34.9,138.56,7614,395788071,1823,3498334,51981.62214,1918.998354
sanairne,SA,Nairne,1,8500,12,5252,-35,138.94,3938,199573210,1118,2213733,50678.82428,1980.083184
wapearsall,WA,Pearsall,1,8500,11,6065,-31.73,115.79,39780,2460735399,10694,22878017,61858.60732,2139.332055
sacumberland park,SA,Cumberland Park,2,8450,13,5041,-34.98,138.59,8295,538413051,1979,4249061,64908.14358,2147.074785
vicalphington,VIC,Alphington,29,8388,14.45,3078,-37.78,145.03,7842,678360880,1812,4026753,86503.55522,2222.269868
qldwilsonton,QLD,Wilsonton,1,8300,14,4350,-27.62,151.77,62458,3553578643,15635,31385362,56895.49206,2007.378446
qldsouth brisbane,QLD,South Brisbane,1,8250,11,4101,-27.49,153.02,20296,1478733803,3409,8093710,72858.38604,2374.218246
nswhinchinbrook,NSW,Hinchinbrook,2,8245,9,2168,-33.92,150.9,19939,981711546,4532,10868790,49235.74633,2398.232568
qldbirkdale,QLD,Birkdale,3,8233,14.33,4159,-27.5,153.21,8776,537037677,2101,5515948,61193.90121,2625.391718
sapayneham,SA,Payneham,8,8229,14.63,5070,-34.89,138.64,8692,528321270,1913,4007982,60782.47469,2095.129117
nswhamilton south,NSW,Hamilton South,4,8125,19.25,2303,-32.92,151.75,5591,382199440,1344,3241837,68359.76391,2412.081101
wahighgate,WA,Highgate,2,8050,9,6003,-31.94,115.87,2865,186500341,609,1229940,65096.10506,2019.605911
wariverton,WA,Riverton,2,8050,12.5,6148,-32.03,115.92,11073,734561501,2218,4170533,66338.07469,1880.312444
nswavoca,NSW,Avoca,1,8000,18,2577,-34.61,150.48,9266,566961678,1851,4210454,61187.31686,2274.691518
nswbellingen,NSW,Bellingen,2,8000,13.5,2454,-30.45,152.9,4306,203154628,855,1806439,47179.43056,2112.794152
nswredhead,NSW,Redhead,1,8000,8,2290,-33,151.69,19831,1222269136,5742,12964295,61634.26635,2257.801289
ntcoconut grove,NT,Coconut Grove,1,8000,9,810,-12.38,130.88,21269,1424967659,6287,10429333,66997.39804,1658.872753
qldinnisfail estate,QLD,Innisfail Estate,1,8000,15,4860,-17.56,146,6017,285672230,1174,2023782,47477.5187,1723.834753
salargs bay,SA,Largs Bay,1,8000,11,5016,-34.82,138.49,5284,317301280,1486,2974298,60049.44739,2001.546433
sameadows,SA,Meadows,1,8000,11,5201,-35.25,138.71,1378,71976543,360,853664,52232.61466,2371.288889
saredwood park,SA,Redwood Park,2,8000,14.5,5097,-34.82,138.7,8093,425408613,1924,3633902,52565.0084,1888.722453
vicbannockburn,VIC,Bannockburn,1,8000,15,3331,-38.05,144.17,3961,230234330,1352,3277059,58125.30422,2423.860207
vickilsyth,VIC,Kilsyth,1,8000,14,3137,-37.8,145.31,8416,473096571,2291,5562753,56213.94617,2428.089481
waeast perth,WA,East Perth,1,8000,12,6004,-31.94,115.88,7696,574239882,1377,2867984,74615.36928,2082.777052
qldboronia heights,QLD,Boronia Heights,1,7999,12,4124,-27.69,153.02,11997,676509902,3386,8401825,56389.92265,2481.342292
vicmooroolbark,VIC,Mooroolbark,1,7999,12,3138,-37.77,145.33,13559,775708588,3666,9364027,57209.8671,2554.289962
nswconiston,NSW,Coniston,1,7990,15,2500,-34.44,150.89,23627,1408335524,6341,13271647,59607.03957,2092.989592
vickew,VIC,Kew,1,7990,13,3101,-37.81,145.04,16880,1854464760,3380,9772474,109861.6564,2891.264497
wakiara,WA,Kiara,1,7990,12,6054,-31.92,115.94,11720,711128162,2737,5081613,60676.46433,1856.636098
qldbalmoral,QLD,Balmoral,1,7950,7,4171,-27.46,153.07,11116,1173576260,2702,8411536,105575.4102,3113.07772
nswumina beach,NSW,Umina Beach,2,7925,16,2257,-33.51,151.34,16254,910090477,3700,10187950,55991.78522,2753.5
nswcoolatai,NSW,Coolatai,1,7899,12,2402,-29.51,150.75,877,35197117,166,371794,40133.54276,2239.722892
vicnorth geelong,VIC,North Geelong,42,7879,14.98,3215,-38.11,144.33,12173,695399325,3838,8575009,57126.37189,2234.238927
nswoak flats,NSW,Oak Flats,13,7862,16.15,2529,-34.57,150.83,15920,962320893,5752,12570965,60447.29227,2185.494611
